<13>1 2023-06-21T07:29:11.123967Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:277][ScheduleManager] Clone Manager: Start state machine msg is not received, SWC NAME : schedule_manager
<13>1 2023-06-21T07:29:11.134499Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:277][ScheduleManager] Clone Manager: Start state machine msg is not received, SWC NAME : schedule_manager
<13>1 2023-06-21T07:29:11.145048Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:277][ScheduleManager] Clone Manager: Start state machine msg is not received, SWC NAME : schedule_manager
<13>1 2023-06-21T07:29:11.155485Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:277][ScheduleManager] Clone Manager: Start state machine msg is not received, SWC NAME : schedule_manager
<13>1 2023-06-21T07:29:11.166068Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:277][ScheduleManager] Clone Manager: Start state machine msg is not received, SWC NAME : schedule_manager
<13>1 2023-06-21T07:29:11.176620Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:277][ScheduleManager] Clone Manager: Start state machine msg is not received, SWC NAME : schedule_manager
<13>1 2023-06-21T07:29:11.187174Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:277][ScheduleManager] Clone Manager: Start state machine msg is not received, SWC NAME : schedule_manager
<13>1 2023-06-21T07:29:11.197759Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:277][ScheduleManager] Clone Manager: Start state machine msg is not received, SWC NAME : schedule_manager
<13>1 2023-06-21T07:29:11.208412Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:277][ScheduleManager] Clone Manager: Start state machine msg is not received, SWC NAME : schedule_manager
<13>1 2023-06-21T07:29:11.219091Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:277][ScheduleManager] Clone Manager: Start state machine msg is not received, SWC NAME : schedule_manager
<13>1 2023-06-21T07:29:11.229761Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:277][ScheduleManager] Clone Manager: Start state machine msg is not received, SWC NAME : schedule_manager
<13>1 2023-06-21T07:29:11.240375Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:277][ScheduleManager] Clone Manager: Start state machine msg is not received, SWC NAME : schedule_manager
<13>1 2023-06-21T07:29:11.250973Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:277][ScheduleManager] Clone Manager: Start state machine msg is not received, SWC NAME : schedule_manager
